cntntsNo,name,codename,temp(°C),hd(%),light(Lux),water
12938,가울테리아,진달래과,18.0,55,5750,3
12954,개운죽,백합과,18.0,55,5750,2
12955,골드크레스트 '윌마',측백나무과,18.0,55,5750,3
12957,공작야자,야자과,23.0,85,5750,3
12962,관엽베고니아,베고니아과,18.0,55,5750,3
12963,관음죽,야자과,18.0,55,5750,3
12966,구문초,쥐손이풀과,18.0,55,5750,3
12972,구즈마니아,파인애플과,23.0,55,5750,3
12974,군자란,수선화과,18.0,55,5750,3
12988,글레코마,꿀풀과,18.0,55,5750,3
12990,금목서,물푸레나무과,18.0,55,5750,3
12994,금사철나무,노박덩굴과,18.0,55,5750,3
12998,금식나무,층층나무과,18.0,55,5750,3
13186,금전수,천남성과,18.0,55,5750,3
13196,금천죽,백합과,18.0,55,5750,3
13199,기누라,국화과,18.0,55,5750,3
13201,꽃베고니아,베고니아과,23.0,85,5750,2
13202,나도풍란,난초과,23.0,85,5750,4
13203,나한송,나한송과,12.5,55,5750,2
13206,남천,매자나무과,18.0,55,5750,3
13207,네마탄투스,괭이밥과,18.0,55,5750,3
13208,네오레겔리아,파인애플과,18.0,85,5750,3
13210,녹영,국화과,18.0,55,5750,4
13218,뉴기니아봉선화,봉선화과,23.0,20,5750,2
13333,대만고무나무,뽕나무과,23.0,55,5750,3
13335,더피고사리,고란초과,18.0,85,5750,2
13336,덕구리난,백합과,23.0,20,5750,3
13337,데코라고무나무,뽕나무과,23.0,55,5750,3
13338,덴파레,난초과,23.0,55,5750,4
13339,도깨비고비,면마과,18.0,20,5750,2
13340,돈나무,돈나무과,18.0,55,5750,3
14663,동백,차나무과,18.0,55,5750,3
14674,둥근잎 아랄리아,두릅나무과,23.0,55,5750,3
14675,듀란타,마편초과,23.0,55,5750,3
14676,드라세나  '송오브자마이카',백합과,18.0,55,5750,3
14687,드라세나  '와네끼',백합과,18.0,55,5750,3
14694,드라세나 '송오브인디아',백합과,18.0,55,5750,2
14696,드라세나 '자바',백합과,18.0,55,5750,3
14697,드라세나 '콤팩타',백합과,18.0,55,5750,2
14698,드라세나 '트리컬러 레인보우',백합과,18.0,55,5750,2
14688,드라세나 드라코,백합과,23.0,55,5750,3
14689,드라세나 마지나타,백합과,18.0,55,5750,2
14690,드라세나 맛상게아나,백합과,18.0,55,5750,2
14691,드라세나 산데리아나,백합과,23.0,55,5750,2
14692,드라세나 산데리아나 '세레스',백합과,18.0,55,5750,2
14695,드라세나 수르쿨로사,백합과,18.0,20,5750,3
14699,디지고데카,두릅나무과,18.0,55,5750,3
14700,디펜바키아 '마리안느',천남성과,23.0,55,5750,3
14713,디펜바키아 '트로픽스노우',천남성과,23.0,55,5750,3
14911,떡갈잎 고무나무,뽕나무과,18.0,55,5750,3
14913,러브체인,박주가리과,18.0,20,5750,4
14920,렉스베고니아,베고니아과,18.0,55,5750,3
15830,루모라고사리,고란초과,18.0,85,5750,2
16034,루스커스,백합과,18.0,55,5750,3
16038,마란타 류코뉴라,마란타과,18.0,55,5750,3
16238,마삭줄,협죽도과,18.0,55,5750,3
16239,만년청,백합과,23.0,55,5750,3
16241,만데빌라,협죽도과,18.0,55,5750,3
16245,멕시코소철,소철과,23.0,55,5750,3
16246,멜라니 고무나무,뽕나무과,23.0,55,5750,3
16448,목베고니아,베고니아과,23.0,55,5750,2
16449,몬스테라,천남성과,18.0,85,5750,2
17749,무늬관음죽,야자과,18.0,55,5750,3
17750,무늬마삭줄,협죽도과,18.0,55,5750,2
17751,무늬벤자민고무나무,뽕나무과,23.0,55,5750,3
18575,무늬산호수,자금우과,23.0,55,5750,3
18576,무늬석창포,천남성과,23.0,55,5750,2
18593,무늬쉐플레라'홍콩',두릅나무과,23.0,55,5750,3
18596,무늬알피니아,생강과,23.0,55,5750,3
18597,무늬유카,백합과,23.0,55,5750,3
18599,무늬접란,백합과,23.0,55,5750,3
18600,무늬털머위,국화과,18.0,55,5750,3
18602,무늬팻츠헤데라,두릅나무과,18.0,55,5750,3
18604,무늬푸밀라고무나무 ,뽕나무과,23.0,55,5750,3
18649,뮤렌베키아,마디풀과,18.0,55,5750,3
18656,바위취,범위귀과,18.0,55,5750,3
18659,박쥐란,고사리과,18.0,55,5750,2
18692,반딧불털머위,국화과,18.0,55,5750,3
18694,백량금,자금우과,18.0,55,5750,3
14915,백정화,꼭두서니과,18.0,55,5750,3
14916,백화등,협죽도과,18.0,55,5750,2
14919,벤자민고무나무,물밤나무과,23.0,55,5750,3
15828,벤자민고무나무 '킹',뽕나무과,23.0,55,5750,3
15831,벵갈고무나무,뽕나무과,23.0,55,5750,3
15835,병솔나무,도금양과,23.0,55,5750,3
16037,보스톤고사리,고란초과,18.0,85,5750,2
16138,봉의꼬리,고사리과,18.0,85,5750,2
18613,부겐빌레아,분꽃과,23.0,55,5750,2
18652,브룬펠시아,가지과,23.0,55,5750,3
18655,브리세아,파인애플과,23.0,55,5750,2
18695,비젯티접란,백합과,23.0,55,5750,3
18697,비타툼접란,백합과,23.0,20,5750,3
19448,산세베리아,백합과,23.0,55,5750,3
19449,산세베리아 '골든 하니',백합과,23.0,55,5750,3
19451,산호수,자금우과,18.0,55,5750,3
19452,삼색데코라고무나무,뽕나무과,23.0,55,5750,3
19453,상록넉줄고사리 '후마타',고사리과,18.0,85,5750,2
19455,새우란,난초과,23.0,55,1150,3
19457,석창포,천남성과,18.0,55,5750,2
19460,세네시오 라디칸스,국화과,23.0,20,5750,3
19663,세이프릿지 야자,야자과,23.0,55,5750,3
19696,셀라기넬라,부처손과,23.0,85,5750,2
19701,소철,소철과,23.0,55,5750,3
19703,소피아 고무나무,뽕나무과,17.0,55,5750,3
19704,솔레이롤리아,쐐기풀과,18.0,55,5750,4
19706,수박페페로미아,후추과,23.0,55,5750,3
19709,수박필레아,쐐기풀과,23.0,55,5750,3
19711,수염 틸란드시아,파인애플과,23.0,85,5750,2
19713,숙근이베리스,봉선화과,23.0,55,5750,3
19715,쉐플레라 '홍콩',두릅나무과,23.0,55,5750,3
19716,스킨답서스,천남성과,23.0,55,5750,3
19717,스파티필룸,천남성과,23.0,55,5750,3
19718,스파티필룸 (광엽),천남성과,23.0,55,5750,3
19719,시서스,포도과,23.0,55,5750,3
19707,시클라멘,앵초과,18.0,55,5750,3
19712,심비디움,난초과,23.0,85,5750,4
19714,싱고니움,천남성과,23.0,55,5750,2
19469,아글라오네마,천남성과,23.0,55,5750,3
19468,아데니움,협죽도과,23.0,55,5750,4
19467,아디안텀,고사리과,23.0,55,5750,3
19466,아라우카리아,아라우카리아과,23.0,55,5750,3
19465,아레카야자,야자과,23.0,55,5750,3
19470,아마릴리스,백합과,23.0,55,5750,3
19464,아스파라거스 풀루모수스,백합과,23.0,55,5750,2
19463,아스플레니움,고란초과,23.0,55,5750,1
19462,아왜나무,인동과,18.0,55,5750,3
19461,아이비,두릅나무과,18.0,55,5750,2
19459,아펠란드라,쥐꼬리망초과,23.0,55,5750,3
18691,아프리칸 바이올렛,괭이밥과,18.0,55,5750,3
18660,안수리움,천남성과,23.0,55,5750,3
18658,알로카시아 아마조니카,천남성과,23.0,55,5750,2
19471,알로카시아 쿠쿨라타,천남성과,18.0,55,5750,2
18657,얼룩자주달개비,닭의장풀과,23.0,55,5750,3
18654,에메랄드리플 페페로미아,후추과,23.0,55,5750,3
18601,에크메아 파시아타,파인애플과,23.0,55,5750,3
18598,엘라티올 베고니아,베고니아과,23.0,55,5750,3
18595,여우꼬리풀,대극과,23.0,55,5750,4
18591,엽란,백합과,18.0,55,5750,3
19474,옥살리스(사랑초),괭이밥과,18.0,55,5750,3
18589,온시디움,난초과,23.0,55,5750,4
18588,왜란,백합과,12.5,55,5750,3
18587,왜성종려죽,야자과,18.0,55,5750,3
18585,움벨라타 고무나무,뽕나무과,23.0,55,5750,3
18582,유카,도금양과,23.0,55,5750,3
18581,은사철나무,노박덩굴과,18.0,55,5750,3
18578,익소라,꼭두서니과,23.0,55,5750,2
17748,인삼벤자민,뽕나무과,23.0,55,5750,3
17741,자금우,자금우과,18.0,55,5750,3
17393,자란,난초과,18.0,55,5750,4
16450,자주색만년초,닭의장풀과,23.0,55,5750,3
16447,접란,백합과,18.0,55,5750,3
16248,제라니움,쥐손풀이과,23.0,55,5750,3
16242,좀마삭줄,협죽도과,18.0,55,5750,2
16036,종려방동사니,사초과,18.0,55,5750,3
16035,종려죽,야자과,18.0,55,5750,3
16033,죽백나무,나한송과,18.0,55,5750,3
15834,줄리아 페페로미아,후추과,23.0,55,5750,3
12991,참쇠고비(섬쇠고비),고비과,18.0,85,5750,2
12989,치자나무,꼭두서니과,23.0,55,5750,4
15829,칼라데아 마코야나,마란타과,23.0,55,5750,3
14918,칼라데아 인시그니스,마란타과,23.0,55,5750,3
14917,칼라데아 크로카타,마란타과,23.0,55,5750,3
14914,칼라디움,천남성과,23.0,55,5750,3
13319,칼랑코에,돌나물과,18.0,55,5750,3
13317,커피나무,꼭두서니과,23.0,55,5750,3
13318,켄챠야자,야자과,23.0,55,5750,3
13309,코르딜리네 레드에지,백합과,23.0,55,5750,2
13260,크로톤,대극과,23.0,55,5750,3
13261,크로톤,대극과,23.0,55,5750,3
13257,크립탄서스,파인애플과,23.0,55,5750,3
13255,클레마티스,미나리아재비과,23.0,15,5750,2
