no,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
29306,18, ?,0, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,16, United-States,0
29307,29, Private,0, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,0,0,40, United-States,1
29308,45, Private,0, Bachelors,13, Married-civ-spouse, Tech-support, Husband, Black, Male,0,0,40, United-States,1
29309,42, Self-emp-not-inc,0, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,1
29310,41, Private,1, Doctorate,16, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,1902,40, United-States,1
29311,17, Private,0, 10th,6, Never-married, Other-service, Own-child, White, Female,0,0,10, United-States,0
29312,34, Local-gov,0, HS-grad,9, Never-married, Farming-fishing, Not-in-family, Black, Male,594,0,60, United-States,0
29313,22, Self-emp-inc,0, Bachelors,13, Never-married, Sales, Own-child, White, Male,0,0,50, United-States,0
29314,35, Private,1, Assoc-voc,11, Never-married, Adm-clerical, Own-child, White, Female,14344,0,40, United-States,1
29315,36, ?,0, HS-grad,9, Widowed, ?, Not-in-family, White, Female,0,0,4, United-States,0
29316,35, Private,0, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,38, Puerto-Rico,0
29317,42, Private,0, Some-college,10, Divorced, Craft-repair, Own-child, White, Male,0,0,30, United-States,1
29318,40, Private,0, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,40, United-States,0
29319,81, Private,0, 7th-8th,4, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,25, Portugal,0
29320,36, Private,0, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,0,0,20, United-States,1
29321,21, ?,0, Some-college,10, Married-civ-spouse, ?, Wife, Black, Female,2105,0,20, United-States,0
29322,26, Private,0, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,0
29323,24, Private,0, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States,1
29324,33, Private,0, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0
29325,27, Private,0, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,35, United-States,0
29326,24, Private,0, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,1
29327,55, Private,0, Some-college,10, Married-civ-spouse, Protective-serv, Husband, Black, Male,0,0,40, ?,1
29328,49, ?,0, Some-college,10, Widowed, ?, Unmarried, White, Female,0,0,60, United-States,0
29329,52, State-gov,0, Masters,14, Divorced, Prof-specialty, Not-in-family, White, Female,0,0,40, United-States,1
29330,42, Self-emp-not-inc,0, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, El-Salvador,0
29331,60, Self-emp-not-inc,1, 9th,5, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,1887,67, United-States,0
29332,33, Private,0, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States,0
29333,24, Private,0, HS-grad,9, Separated, Other-service, Unmarried, Black, Female,0,0,40, United-States,0
29334,51, Private,0, Bachelors,13, Separated, Sales, Not-in-family, White, Male,0,0,40, United-States,1
29335,48, Self-emp-not-inc,1, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,7298,0,60, United-States,1
29336,33, Private,0, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,45, United-States,0
29337,17, Private,0, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,12, United-States,0
29338,25, Private,0, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,0,0,32, United-States,0
29339,25, Private,0, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0
29340,19, Private,0, Some-college,10, Never-married, Sales, Not-in-family, White, Female,0,0,25, United-States,0
29341,31, Self-emp-inc,0, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,65, United-States,0
29342,35, Private,0, HS-grad,9, Never-married, Machine-op-inspct, Unmarried, White, Female,0,0,40, Iran,0
29343,44, Private,0, HS-grad,9, Divorced, Tech-support, Not-in-family, White, Male,0,0,50, United-States,1
29344,31, Private,0, Assoc-voc,11, Divorced, Sales, Own-child, White, Female,0,0,38, United-States,0
29345,33, Private,0, Some-college,10, Never-married, Tech-support, Not-in-family, White, Male,0,0,70, United-States,0
29346,36, Private,0, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,0,60, United-States,1
29347,61, Self-emp-not-inc,0, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,52, United-States,0
29348,72, Private,0, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,2653,0,40, United-States,1
29349,51, Self-emp-not-inc,0, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,20, United-States,0
29350,23, Private,0, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,0,0,40, United-States,0
29351,27, Private,0, HS-grad,9, Never-married, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,0
29352,29, Private,0, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,50, United-States,0
29353,72, ?,0, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,8, United-States,0
29354,39, Local-gov,0, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,1
29355,23, Private,0, Bachelors,13, Never-married, Prof-specialty, Own-child, White, Male,0,1590,50, United-States,0
29356,35, Self-emp-inc,0, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States,1
29357,60, ?,0, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,0,0,40, United-States,1
29358,35, Private,0, 10th,6, Divorced, Handlers-cleaners, Unmarried, White, Female,0,0,60, United-States,0
29359,18, Private,0, 11th,7, Never-married, Sales, Own-child, White, Male,0,0,16, United-States,0
29360,40, Private,0, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,60, United-States,0
29361,48, ?,1, Assoc-acdm,12, Divorced, ?, Not-in-family, White, Female,14084,0,40, United-States,1
29362,48, Self-emp-not-inc,0, Assoc-voc,11, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,25, United-States,1
29363,26, Private,0, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,40, United-States,1
29364,29, Federal-gov,0, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,1
29365,44, Private,0, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,0
29366,52, Self-emp-not-inc,0, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,50, India,0
29367,34, Private,0, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States,0
29368,49, Private,1, Some-college,10, Divorced, Prof-specialty, Not-in-family, White, Male,14084,0,44, United-States,1
29369,71, ?,0, HS-grad,9, Widowed, ?, Not-in-family, White, Female,0,0,40, United-States,0
29370,36, Private,1, Masters,14, Never-married, Adm-clerical, Not-in-family, White, Male,13550,0,50, United-States,1
29371,47, Private,0, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Black, Male,0,0,30, United-States,1
29372,43, Private,0, Bachelors,13, Divorced, Prof-specialty, Unmarried, Black, Female,0,0,60, United-States,0
29373,44, Private,0, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, Philippines,0
29374,60, Self-emp-not-inc,0, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,65, United-States,0
29375,35, Federal-gov,0, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,0,0,40, Vietnam,0
29376,58, Private,0, 11th,7, Divorced, Adm-clerical, Not-in-family, White, Female,3674,0,40, United-States,0
29377,34, Private,0, HS-grad,9, Divorced, Tech-support, Unmarried, White, Female,0,0,40, United-States,0
