no,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
1,25, Private,219199, 11th,7, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,40, United-States,0
2,39, Private,52978, Some-college,10, Divorced, Other-service, Not-in-family, White, Female,0,1721,55, United-States,0
3,35, Private,196899, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, Asian-Pac-Islander, Female,0,0,50, Haiti,0
4,64, Private,135527, Assoc-voc,11, Divorced, Tech-support, Not-in-family, White, Female,0,0,40, United-States,0
5,24, Private,60783, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,70, United-States,1
6,66, Self-emp-not-inc,274451, 9th,5, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,25, United-States,1
7,56, Private,152874, Bachelors,13, Divorced, Prof-specialty, Unmarried, Black, Female,0,1741,40, United-States,0
8,70, Self-emp-not-inc,165586, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,40, United-States,0
9,21, Private,211013, Assoc-voc,11, Married-civ-spouse, Other-service, Other-relative, White, Female,0,0,50, Mexico,0
10,33, Private,192644, HS-grad,9, Separated, Handlers-cleaners, Unmarried, White, Male,0,0,35, Puerto-Rico,0
11,45, Private,174794, Some-college,10, Divorced, Priv-house-serv, Not-in-family, White, Female,0,0,29, United-States,0
12,54, Private,231004, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,0,0,37, United-States,0
13,63, Local-gov,241404, Some-college,10, Divorced, Protective-serv, Not-in-family, White, Female,0,0,35, United-States,0
14,58, Local-gov,36091, Masters,14, Never-married, Exec-managerial, Not-in-family, Amer-Indian-Eskimo, Female,0,0,40, United-States,0
15,44, Self-emp-not-inc,53956, Some-college,10, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,45, United-States,0
16,31, Private,162312, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Asian-Pac-Islander, Male,0,0,35, Philippines,0
17,54, Private,299324, 5th-6th,3, Married-spouse-absent, Machine-op-inspct, Unmarried, White, Male,0,0,40, Mexico,0
18,17, Private,52012, 11th,7, Never-married, Other-service, Own-child, White, Female,0,0,15, United-States,0
19,43, Private,208613, Prof-school,15, Married-spouse-absent, Prof-specialty, Not-in-family, White, Male,99999,0,40, United-States,1
20,18, ?,220168, Some-college,10, Never-married, ?, Own-child, White, Male,0,0,16, United-States,0
21,23, ?,194096, Some-college,10, Never-married, ?, Own-child, White, Female,0,0,30, United-States,0
22,50, Self-emp-not-inc,343748, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,35, United-States,0
23,54, Private,96062, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,40, United-States,0
24,19, Private,366088, 9th,5, Never-married, Machine-op-inspct, Own-child, White, Male,0,0,40, United-States,0
25,19, ?,50626, Some-college,10, Never-married, ?, Own-child, Black, Female,0,0,20, United-States,0
26,45, Private,179048, 12th,8, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,35, ?,1
27,38, Private,275338, Bachelors,13, Divorced, Sales, Unmarried, White, Female,1151,0,40, United-States,0
28,33, Private,126950, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,60, United-States,0
29,29, Private,190539, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,1590,50, United-States,0
30,18, Private,332125, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, White, Male,2176,0,25, United-States,0
31,29, Private,218785, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,0,0,65, United-States,0
32,58, Private,150560, Bachelors,13, Divorced, Adm-clerical, Not-in-family, White, Female,14084,0,40, United-States,1
33,66, Private,217198, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,10, United-States,0
34,30, Private,159123, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States,0
35,47, Self-emp-not-inc,106252, Bachelors,13, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States,0
36,28, Private,192283, Masters,14, Married-spouse-absent, Sales, Not-in-family, White, Female,0,0,80, United-States,1
37,28, Private,230997, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,60, United-States,0
38,24, ?,152719, Some-college,10, Never-married, ?, Own-child, Black, Female,0,0,15, Haiti,0
39,22, Private,103440, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,0,0,24, United-States,0
40,50, Private,344621, HS-grad,9, Divorced, Machine-op-inspct, Not-in-family, White, Female,0,0,40, United-States,0
41,39, Local-gov,203070, HS-grad,9, Separated, Protective-serv, Not-in-family, White, Male,0,0,40, United-States,0
42,59, Self-emp-not-inc,119344, 10th,6, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,36, United-States,0
43,34, Self-emp-not-inc,77209, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,0,1902,60, United-States,1
44,44, Private,193755, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,0,0,50, United-States,1
45,49, Private,149337, HS-grad,9, Separated, Handlers-cleaners, Not-in-family, White, Male,0,0,40, United-States,0
46,36, Private,148903, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,60, United-States,0
47,32, Private,162604, HS-grad,9, Never-married, Machine-op-inspct, Other-relative, Black, Male,0,0,40, United-States,0
48,23, ?,62507, Some-college,10, Never-married, ?, Not-in-family, White, Female,0,0,12, United-States,0
49,30, Private,175690, Some-college,10, Never-married, Adm-clerical, Unmarried, Black, Female,0,0,40, United-States,0
50,46, Private,191821, HS-grad,9, Divorced, Sales, Not-in-family, White, Female,0,0,40, United-States,0
51,19, Private,127491, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,0,0,40, United-States,0
